Participant Public ID,Sex,Sex-quantised,Age,IMD Score,Crime Rank,CFC Q1,CFC Q1-quantised,CFC Q2,CFC Q2-quantised,CFC Q3,CFC Q3-quantised,Q3 Reversed,CFC Q4,CFC Q4-quantised,Q4 Reversed,CFC Q5,CFC Q5-quantised,Q5 Reversed,CFC Q6,CFC Q6-quantised,CFC Q7,CFC Q7-quantised,CFC Q8,CFC Q8-quantised,CFC Q9,CFC Q9-quantised,Q9 Reversed,CFC Q10,CFC Q10-quantised,Q10 Reversed,CFC Q11,CFC Q11-quantised,Q11 Reversed,CFC Q12,CFC Q12-quantised,Q12 Reversed,CFC Mean Score,PGG Round 1,PGG Round 2,PGG Round 3,PGG Round 4,PGG Round 5,PGG Mean Contribution
2917,Male,1,45,17551,19572,5,5,5,5,1,1,5,1,1,5,1,1,5,5,5,4,4,4,4,1,1,5,1,1,5,1,1,5,2,2,4,4.75,5,1,1,0,0,1.4
4095,Male,1,18,13718,10275,4,4,4,4,3,3,3,2,2,4,4,4,2,2,2,4,4,4,4,2,2,4,2,2,4,4,4,2,4,4,2,3.25,10,3,10,10,10,8.6
4128,Female,2,19,16181,22880,3,3,2,2,1,1,5,3,3,3,3,3,3,4,4,5,5,3,3,2,2,4,3,3,3,2,2,4,3,3,3,3.5,5,8,6,8,10,7.4
4136,Female,2,22,14717,15563,5,5,5,5,1,1,5,2,2,4,4,4,2,5,5,2,2,2,2,3,3,3,2,2,4,2,2,4,2,2,4,3.75,0,1,2,2,3,1.6
4231,Male,1,35,15675,6379,4,4,3,3,2,2,4,3,3,3,2,2,4,4,4,4,4,3,3,2,2,4,2,2,4,2,2,4,3,3,3,3.666666667,10,10,8,10,8,9.2
4208,Female,2,23,30122,13725,4,4,2,2,1,1,5,2,2,4,4,4,2,4,4,4,4,4,4,2,2,4,1,1,5,2,2,4,4,4,2,3.666666667,5,2,0,0,0,1.4
4270,Female,2,23,9275,10103,2,2,3,3,2,2,4,4,4,2,4,4,2,4,4,4,4,3,3,4,4,2,2,2,4,3,3,3,3,3,3,3,6,7,3,9,1,5.2
4192,Female,2,23,16891,22479,4,4,4,4,1,1,5,2,2,4,3,3,3,4,4,4,4,3,3,2,2,4,3,3,3,2,2,4,1,1,5,3.916666667,7,1,10,10,10,7.6
4125,Female,2,40,9353,14736,5,5,2,2,1,1,5,1,1,5,4,4,2,5,5,1,1,5,5,4,4,2,2,2,4,1,1,5,2,2,4,3.75,10,10,10,10,10,10
4221,Female,2,25,7823,10842,3,3,3,3,2,2,4,1,1,5,3,3,3,4,4,3,3,3,3,2,2,4,2,2,4,3,3,3,2,2,4,3.583333333,8,9,10,9,8,8.8
4182,Female,2,19,,,4,4,4,4,4,4,2,4,4,2,4,4,2,2,2,4,4,3,3,3,3,3,1,1,5,4,4,2,3,3,3,3,0,0,3,4,8,3
4100,Female,2,19,6746,9429,5,5,5,5,2,2,4,2,2,4,4,4,2,4,4,4,4,2,2,1,1,5,1,1,5,2,2,4,3,3,3,3.916666667,2,4,6,4,6,4.4
4256,Female,2,32,11650,8560,4,4,4,4,2,2,4,2,2,4,2,2,4,4,4,4,4,3,3,2,2,4,3,3,3,2,2,4,2,2,4,3.833333333,10,2,10,10,10,8.4
4140,Female,2,57,12628,11911,3,3,4,4,3,3,3,2,2,4,3,3,3,3,3,4,4,3,3,2,2,4,2,2,4,2,2,4,3,3,3,3.5,0,0,0,0,0,0
4202,Female,2,19,11917,21199,5,5,4,4,2,2,4,2,2,4,3,3,3,3,3,5,5,1,1,2,2,4,1,1,5,3,3,3,2,2,4,3.75,4,2,5,10,6,5.4
