Game,Player,Condition_Ext,Probability,Destroy,NashEquilibrium,Consumption,Strategy,P_50,P_69,Age,Gender,NR,CFC,IMD,IMD_RANKED,Condition,Parent,Mean_cons,N_Cooperations,N_Defections,Post_1,Post_2
1,       1,0,70,0,1,20,1,1,1,26,1,3.52,4.41,19861,4,0,1,22.57,5,2,0,0
1,       1,0,59,0,0,25,1,1,0,20,0,2.95,3.91,22353,4,0,1,17.57,4,3,0,0
1,       1,0,65,0,0,25,1,1,0,21,1,2.71,3.83,15935,3,0,1,5.83,11,1,0,0
1,       1,0,96,0,1,25,1,1,1,20,1,3.19,3.83,1618,1,0,1,9.41,9,3,0,0
1,       1,0,18,0,0,55,0,0,0,20,1,3.32,3.58,4551,1,1,1,18.5,3,1,1,1
1,       1,0,99,0,0,4,1,1,1,21,1,3,4.41,16181,3,1,1,26.25,3,2,1,1
1,       1,0,4,1,1,4,0,0,0,18,0,4.47,2.66,15067,3,0,1,11,0,5,0,0
2,       2,0,95,0,1,3,1,1,1,18,0,3.8,3,13852,3,0,1,27.8,3,2,0,0
2,       2,0,36,0,0,2,1,0,0,18,0,2.9,3.41,5931,1,1,1,11.44,4,5,1,1
2,       2,0,65,0,0,10,1,1,0,20,1,4.52,3.5,9555,2,1,1,10,8,1,1,1
2,       2,0,37,0,0,7,1,0,0,18,1,3.47,3.58,12640,2,0,1,12.15,8,5,0,1
2,       2,0,17,0,0,2,1,0,0,42,1,4.04,3.5,25066,4,0,0,10.53,10,3,0,1
2,       2,0,93,0,0,29,0,1,1,19,1,2.95,3.91,4748,1,0,1,16.28,2,5,0,0
2,       2,0,93,0,0,1,1,1,1,19,1,2.95,3.58,26704,5,0,1,12.71,3,4,0,0
2,       2,0,65,0,0,1,1,1,0,32,1,3.57,3.83,8812,2,1,0,9.25,6,2,1,1
2,       2,0,4,0,0,1,1,0,0,27,0,3.61,4.08,23679,4,1,1,24,4,4,1,1
2,       2,0,72,0,1,0,1,1,1,19,1,3.52,3.66,23965,4,0,1,7,3,2,0,0
2,       2,0,63,0,0,7,1,1,0,20,1,3.14,3.33,26300,5,0,1,13.8,1,4,0,0
2,       2,0,42,0,0,7,0,0,0,21,1,4,4.41,15271,3,1,1,75,0,1,1,1
3,       3,1,84,0,1,5,1,1,1,19,1,3.28,3.5,7604,2,1,1,60,0,1,1,1
3,       3,1,89,0,1,21,1,1,1,18,1,3.38,2.92,9047,2,0,1,9,1,2,0,0
3,       3,1,97,0,0,45,0,1,1,20,0,3.24,3.83,12061,2,0,1,24.67,1,2,0,0
3,       3,1,81,0,1,3,1,1,1,19,0,3.1,3.58,16181,3,0,1,20,0,2,0,0
4,       4,0,77,0,0,40,0,1,1,36,1,3.38,3.58,7161,2,0,1,35,0,2,0,0
4,       4,0,86,0,0,30,0,1,1,23,1,3.29,4.08,12061,2,1,1,13,2,2,1,1
4,       4,0,85,0,0,45,0,1,1,24,1,2.52,4.58,9543,2,1,1,18,0,4,1,1
4,       4,0,34,0,0,20,0,0,0,23,0,3.48,4.08,7450,2,0,1,16,1,3,0,0
4,       4,0,72,1,1,4,0,1,1,24,0,2.86,4.08,3443,1,0,1,20.25,1,3,0,0
5,       5,1,85,0,1,20,1,1,1,19,1,3.57,2.67,10206,2,1,1,36.5,0,2,1,1
5,       5,1,84,0,1,20,1,1,1,44,0,4.1,4,7768,2,1,1,16.5,2,0,1,1
5,       5,1,93,0,0,28,0,1,1,33,1,4.24,4.17,6542,1,1,0,15.5,1,3,1,1
5,       5,1,46,0,0,18,0,0,0,21,1,4.71,3.83,19306,3,1,1,14.75,0,4,1,1
5,       5,1,79,0,1,2,1,1,1,27,0,4,3,10023,2,0,1,16.43,1,6,1,1
5,       5,1,28,0,0,4,1,0,0,19,1,2.67,2.83,17062,3,0,0,8.29,6,1,1,1
5,       5,1,68,0,0,8,0,1,0,22,1,3.33,3,6321,1,0,1,16.6,1,4,1,1
5,       5,1,53,0,0,2,0,1,0,19,1,3.57,4,4845,1,0,1,12.6,3,2,1,1
5,       5,1,20,1,1,1,0,0,0,35,1,4.05,4.5,9853,2,0,0,38.33,0,3,1,1
6,       6,0,68,0,0,25,1,1,0,30,1,4.33,4,24050,4,0,1,22.67,2,1,1,1
6,       6,0,81,0,1,25,1,1,1,18,1,3.67,4.08,6944,2,1,1,30.5,0,2,1,1
6,       6,0,81,0,0,30,0,1,1,27,0,3.71,4.5,12628,2,1,1,22.5,1,1,1,1
6,       6,0,46,0,0,15,1,0,0,19,0,2.43,2.83,6738,2,0,1,12.5,1,3,0,0
6,       6,0,76,0,0,35,0,1,1,18,1,4.1,4.17,9818,2,0,1,16.25,1,3,0,0
6,       6,0,81,0,1,5,1,1,1,20,0,2.62,4,5790,1,0,1,15,1,2,0,0
6,       6,0,18,0,0,1,1,0,0,21,0,2.33,3.67,16258,3,0,1,25,1,2,0,0
6,       6,0,79,0,1,2,1,1,1,21,1,4.33,2.67,18293,3,0,1,16.33,0,3,1,1
6,       6,0,35,0,0,10,0,0,0,18,0,3.33,2.58,19861,4,0,1,17.33,0,3,1,1
6,       6,0,76,0,1,1,1,1,1,18,1,1.95,3.75,8644,2,1,1,15,0,3,0,0
6,       6,0,22,0,0,1,1,0,0,18,1,2.29,3.58,4674,1,1,1,19,0,3,0,0
6,       6,0,53,0,0,2,0,1,0,18,1,2.52,3.67,18892,3,0,1,12.17,3,3,0,0
6,       6,0,70,1,1,1,0,1,1,18,1,2.9,3,14761,3,0,1,15.67,2,4,0,0
7,       7,0,65,0,0,30,0,1,0,20,1,3.48,4.42,6449,1,1,1,16,4,2,1,1
7,       7,0,97,0,1,16,1,1,1,19,1,3.57,3.67,16181,3,1,1,18.33,3,3,1,1
7,       7,0,3,0,0,12,1,0,0,18,1,3.38,3.58,19867,4,1,1,15,3,1,0,0
7,       7,0,61,0,0,42,0,1,0,18,0,3.24,2.75,5299,1,1,1,23.75,2,2,0,0
7,       7,0,1,0,0,10,0,0,0,25,1,3.9,4,13232,3,0,1,9,3,4,0,1
7,       7,0,83,0,0,3,0,1,1,18,1,3.24,3.5,3443,1,0,1,11,4,3,0,1
7,       7,0,13,1,1,1,0,0,0,19,1,3.29,3.33,9184,2,1,1,11,1,3,1,1
8,       8,1,76,0,1,20,1,1,1,28,1,2.52,3.08,23609,4,1,1,14.25,0,4,0,1
8,       8,1,27,0,0,5,1,0,0,21,1,3.24,3.58,23246,4,0,1,14.5,3,3,0,0
8,       8,1,73,0,1,15,1,1,1,20,1,3.76,4.33,27036,5,0,1,18.83,2,4,0,0
8,       8,1,95,0,1,25,1,1,1,21,1,4.14,4.42,8263,2,0,1,25,1,1,1,1
8,       8,1,16,0,0,1,1,0,0,21,1,2.71,3.67,13435,3,0,1,30,0,2,1,1
8,       8,1,13,0,0,5,1,0,0,21,0,3.05,3.83,7459,2,0,1,12.44,4,5,0,0
8,       8,1,10,0,0,2,0,0,0,21,0,2.38,2.92,6908,2,0,1,8.22,7,2,0,0
8,       8,1,84,1,1,1,0,1,1,23,0,4.05,3.5,9388,2,1,1,17,4,2,1,1
9,       9,0,70,0,1,20,1,1,1,20,1,3.67,4,9388,2,1,1,15,3,3,1,1
9,       9,0,45,0,0,10,0,0,0,18,1,4,3.83,11835,2,1,1,25,2,1,1,1
9,       9,0,60,0,0,2,1,1,0,26,0,3.95,4,19861,4,1,1,25,1,2,1,1
9,       9,0,48,0,0,2,1,0,0,26,1,3.24,4.33,3573,1,1,1,23.75,2,2,1,1
9,       9,0,90,0,1,1,0,1,1,20,1,3.1,4.08,5835,1,1,1,25,2,2,1,1
10,      10,1,98,0,0,60,0,1,1,18,1,4.1,3.83,6164,1,1,1,20,4,1,1,1
11,      11,0,75,0,1,20,1,1,1,19,1,3.67,3.75,15521,3,1,1,22,3,2,1,1
11,      11,0,58,0,0,6,0,1,0,22,1,3.14,3.67,20115,4,1,1,26.67,1,2,1,1
11,      11,0,21,1,1,1,0,0,0,20,1,2.86,2.83,15628,3,1,1,20.33,2,1,1,1
